r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,nace2
0.7605256389522792,0.7600675778179109,142806.08073210702,1660.3147088678113,0,5,-34812.0319411915,69638.063882383,69679.16038956027,53308809478286.086,2614,2620,58
0.7154746308814577,0.7148958567376038,101292.1792947468,1236.1896924375262,0,5,-31892.744575480516,63799.48915096103,63840.155940233606,25219339531074.113,2458,2464,59
0.9352525899514179,0.9345031986314112,73967.04374342844,1248.016310014121,3.651258305659935e-254,5,-5529.056554154188,11072.113108308376,11100.688640681012,2363525377981.4546,432,438,60
0.7903873952292012,0.7890010684780716,1110011.5520770033,570.1306669478673,1.223891605413534e-253,5,-11685.168596059088,23384.337192118175,23416.788818007983,931486988182764.9,756,762,61
0.17166572426865903,0.17128951649514124,170881.8561525043,456.30562777450984,0,5,-148343.3427084574,296700.6854169148,296751.83450972947,321469501862236,11009,11015,62
0.7189600445491894,0.7184759936441759,195179.8217957635,1485.29842027505,0,5,-39561.18625360882,79136.37250721765,79178.2014598271,110590257713564.06,2903,2909,63
0.30214415801813754,0.30035661743929065,4775302.663730502,169.02785961537688,1.254798357805637e-149,5,-32887.2962195727,65788.5924391454,65827.65019090704,44512462315012144,1952,1958,64
0.8887930607401378,0.8635187563628963,4281.326001831474,35.16587627790318,8.82603200691522e-10,5,-270.4905156492504,554.9810312985009,564.3064628697273,403254551.34708196,22,28,65
0.5375638805080034,0.5371345062094965,202593.5143289532,1251.9703260703877,0,5,-73518.89238376806,147051.78476753613,147097.93217076428,221022651079318.78,5385,5391,66
0.27406208534899706,0.27394210750966697,210757.21819337268,2284.2725529907693,0,5,-413861.46622838627,827736.9324567725,827795.1552993517,1343796057688481,30253,30259,68
0.5848920095709137,0.5847376139782525,126092.50589912894,3788.268819655492,0,5,-177035.73005796075,354085.4601159215,354138.0067361513,213734559350441.66,13443,13449,69
0.17320515489241115,0.17293995254281302,154530.51379542513,653.1056574528039,0,5,-208443.3289837319,416900.6579674638,416954.24045799085,372236447068171.4,15588,15594,70
0.3750268521869093,0.374795397795452,66399.02377685237,1620.305624039295,0,5,-169136.73421311757,338287.46842623514,338340.0451696751,59523618670365.1,13501,13507,71
0.819904145787996,0.8195618883683609,179540.68806516018,2395.5774184883326,0,5,-35641.57786069743,71297.15572139485,71338.29750169933,84809913163167.23,2631,2637,72
0.5958742737103064,0.5954091197896232,71051.36422588374,1281.0260157216746,0,5,-54763.919302637005,109541.83860527401,109586.48412314258,21929799380712.324,4344,4350,73
0.3715936767353487,0.371051386156073,95797.39502597225,685.2298213103358,0,5,-74752.78841619458,149519.57683238917,149566.2361247649,53172354338458.02,5794,5800,74
0.9881504811020387,0.9880648631909263,7150.626559068519,11541.399086510724,0,5,-7182.124901039751,14378.249802079503,14410.08733579884,35382970449.58121,692,698,75
1,NA,NA,NA,NA,1,Inf,-Inf,-Inf,0,0,2,76
0.41875305409863245,0.41769083380275995,1987888.8028665888,394.224301423951,4.5798e-319,5,-43653.81075990378,87321.62151980757,87363.03661982842,10811856378050616,2736,2742,77
0.4289415538465846,0.4262376786280553,71961.947670520065,158.6395521905317,8.698129916702835e-126,5,-13381.198320076515,26776.39664015303,26811.172004565644,5468519139636.609,1056,1062,78
0.3939510022791252,0.3917359109131864,30536.246075221366,177.84864693928708,5.755130032111771e-146,5,-16135.459078386522,32284.918156773045,32321.49652708252,1275608459733.334,1368,1374,79
0.7925946455861832,0.7921073209752485,35316.74059012846,1626.4203116397825,0,5,-25372.498398215706,50758.99679643141,50798.65707045444,2654195169057.3887,2128,2134,80
