firm_owner,N,share,nace2
state,12,0.001921537229783827,81
domestic,7260,0.8689407540394973,82
NA,677,0.0810293237582286,82
foreign,366,0.04380610412926391,82
local gov,32,0.0038300418910831835,82
state,20,0.0023937761819269898,82
NA,677,0.743139407244786,84
domestic,205,0.22502744237102085,84
local gov,14,0.015367727771679473,84
state,8,0.008781558726673985,84
foreign,7,0.007683863885839737,84
domestic,7674,0.9016566795911174,85
NA,677,0.07954411937492657,85
foreign,126,0.014804370814240395,85
state,19,0.0022324051227822815,85
local gov,15,0.0017624250969333803,85
domestic,15647,0.9473269964279227,86
NA,677,0.04098807289459345,86
foreign,127,0.007689047647877944,86
local gov,51,0.0030877277956045286,86
state,15,9.08155234001332e-4,86
NA,677,0.7623873873873874,87
domestic,198,0.22297297297297297,87
foreign,6,0.006756756756756757,87
local gov,6,0.006756756756756757,87
state,1,0.0011261261261261261,87
NA,677,0.52890625,88
domestic,576,0.45,88
local gov,20,0.015625,88
foreign,5,0.00390625,88
state,2,0.0015625,88
NA,677,0.9495091164095372,89
domestic,27,0.037868162692847124,89
foreign,9,0.012622720897615708,89
domestic,3481,0.8119897364124096,90
NA,677,0.15791929087940285,90
local gov,73,0.017028224865873572,90
foreign,38,0.008864007464427339,90
state,18,0.004198740377886634,90
NA,677,0.6950718685831622,91
domestic,223,0.22895277207392198,91
foreign,37,0.037987679671457907,91
local gov,27,0.027720739219712527,91
state,10,0.01026694045174538,91
NA,677,0.5970017636684304,92
domestic,441,0.3888888888888889,92
foreign,13,0.01146384479717813,92
state,3,0.0026455026455026454,92
domestic,3467,0.7931823381377259,93
NA,677,0.1548844657973004,93
local gov,112,0.02562342713337909,93
foreign,107,0.024479524136353237,93
state,8,0.0018302447952413636,93
NA,677,0.5513029315960912,94
domestic,467,0.3802931596091205,94
local gov,62,0.050488599348534204,94
foreign,11,0.008957654723127036,94
state,11,0.008957654723127036,94
domestic,1803,0.7166136724960255,95
NA,677,0.2690779014308426,95
foreign,36,0.014308426073131956,95
domestic,4875,0.858274647887324,96
NA,677,0.11919014084507042,96
foreign,96,0.016901408450704224,96
local gov,30,0.00528169014084507,96
state,2,3.5211267605633805e-4,96
NA,677,0.9912152269399708,98
domestic,6,0.008784773060029283,98
NA,677,0.9575671852899575,99
domestic,24,0.033946251768033946,99
foreign,6,0.008486562942008486,99
