term,estimate,std.error,statistic,p.value,nace2
persexp_clean,1.544523013266413,0.17859347649981033,8.648261087341861,9.88243089338405e-18,18
liabilities,1.4778820178711083,0.02580516453524183,57.270784530467964,0,18
(Intercept),-28772.892382847676,15004.028694630953,-1.917677776312423,0.12761225694918635,19
tanass_clean,-4.590531994350951,0.007345128274009632,-624.9764228889396,3.9326862702350863e-11,19
eszk,3.3162731955407083,0.5473091788974987,6.059231826188296,0.0037451231656849054,19
emp,-2558.5668883022854,13279.457661856648,-0.1926710377375881,0.8566034949317941,19
persexp_clean,2.2603491924106627,1.8677429704704482,1.210203560204713,0.2928234546869064,19
liabilities,0.08529130461350694,0.6313644756357786,0.13509043968243434,0.8990655406265371,19
(Intercept),406531.5561202027,209296.74683333127,1.9423692067413494,0.05259518535453237,20
tanass_clean,0.027261036009029918,0.11225570738366179,0.24284766132966895,0.8082126516587572,20
eszk,0.10218823537583198,0.017158629359255866,5.955501062251727,4.59046668346282e-9,20
emp,-152454.36843321135,11862.815350844749,-12.851449164835488,2.698355110436011e-33,20
persexp_clean,28.3418210821823,1.869647711990845,15.158909831201976,1.014222901266929e-43,20
liabilities,0.1314584996648156,0.07338532134672128,1.7913459701800287,0.07377960516019702,20
(Intercept),-202791.84517387414,62613.7125026697,-3.2387768919663973,0.0012395280062342303,21
tanass_clean,1.0082439262825496,0.0680346644015335,14.81956198581357,4.129321315477903e-45,21
eszk,-0.08223436691147504,0.0056718768698424665,-14.498616383708459,2.035616645832112e-43,21
emp,22384.015016529385,2452.121465168572,9.128428315842253,3.682828965438142e-19,21
persexp_clean,-0.2373304963953474,0.1800252479297204,-1.3183178422173218,0.1876958577381876,21
liabilities,1.3686312293434795,0.042960394451090116,31.857976325185966,8.955939120505465e-155,21
(Intercept),4517.299626421808,25101.945763006748,0.17995814623578085,0.8572032209107641,22
tanass_clean,-0.41746008454510297,0.01315288315582833,-31.73905520175759,3.700870957103457e-180,22
eszk,0.45654638353209664,0.007374631449547717,61.90768808658179,0,22
emp,4576.684715354214,1296.320933573565,3.530518251169236,4.2390381346275337e-4,22
persexp_clean,3.4704525990087274,0.2257138267805816,15.375454169151919,1.4256025501171544e-50,22
liabilities,0.15001009366093943,0.0158086095999075,9.489138985494156,6.222899863466713e-21,22
(Intercept),102812.54479661272,29184.953470696357,3.522792828840498,4.412263610728015e-4,23
tanass_clean,-0.832298002583468,0.02862491439440533,-29.075999708356807,8.076011616911056e-145,23
eszk,0.8194136324866359,0.026674637549171258,30.718829111591578,1.1115660743445489e-157,23
emp,-20031.28185667692,1895.2073402454623,-10.569440837055074,3.818666354540581e-25,23
persexp_clean,5.3382957488901734,0.30264437359371854,17.6388402186406,7.66646671347086e-63,23
liabilities,0.7080315545235244,0.042028151006705206,16.846602516740848,5.820292098458856e-58,23
(Intercept),-251571.45617528833,94187.2243696886,-2.670972181830737,0.007745719759991755,24
tanass_clean,-2.96950511373419,0.11080197448881128,-26.800110083183117,2.8620706913196866e-108,24
eszk,2.806875019699396,0.0720968348570004,38.932014495042104,1.3052719716693154e-174,24
emp,13828.405214247894,3265.6761283140177,4.234469270958335,2.609108443104418e-5,24
persexp_clean,-0.5573767787741929,0.5154819221338184,-1.0812731830962226,0.2799623345591491,24
liabilities,-0.5846606903879077,0.03610892307401535,-16.191584811030832,4.725505075319646e-50,24
(Intercept),-5315.466794320645,11372.772061869471,-0.46738532746491024,0.6402409736467752,25
tanass_clean,0.7160763924291672,0.02217078310901488,32.298200244356856,2.3508340870311696e-211,25
eszk,0.17436095426973097,0.012519530585413021,13.92711596334814,2.004008479302368e-43,25
emp,-13655.031538372397,598.7769982764793,-22.8048698892527,1.5966585933546016e-110,25
persexp_clean,5.065852845635761,0.0810833690471105,62.477088768874836,0,25
liabilities,0.22868211885562525,0.0180296503377067,12.68366909908208,2.1006353192792354e-36,25
(Intercept),-633504.1488179801,400729.41665122233,-1.5808775759762974,0.114172442328684,26
tanass_clean,-1.0265410051894301,0.1455746134430285,-7.051648504573726,2.9949290734377453e-12,26
eszk,0.9819403855899631,0.024767751107612982,39.64592430388802,1.2753405250075145e-219,26
emp,-34943.42360351779,5827.502099364521,-5.99629532648788,2.675424737445034e-9,26
persexp_clean,10.618121664976268,0.9458482191995541,11.2260312483985,7.2757452815236045e-28,26
liabilities,0.6949764653790198,0.054483083155414946,12.75582116739933,5.128727461399461e-35,26
(Intercept),55312.38377684916,171274.9983631489,0.3229448799034409,0.7468294653681462,27
tanass_clean,-2.352609443373949,0.11329283828627613,-20.765738408187936,1.2701353189582705e-75,27
eszk,0.5839663076187782,0.09766636676009914,5.979195571523536,3.5082212492048926e-9,27
emp,6495.946827737592,4284.396547480811,1.516187111941623,0.12990493117563065,27
persexp_clean,2.5728752154531134,0.7756457370916047,3.3170751702967896,9.547002042072339e-4,27
liabilities,1.5643480756569,0.13625959329755463,11.480645419517588,3.657270877374074e-28,27
(Intercept),-129748.68471214596,50682.57961434639,-2.5600252729720734,0.010536888465703482,28
tanass_clean,-1.0200427322308179,0.04476856490860344,-22.784798536948195,1.0095096715773087e-102,28
eszk,0.5386196471358208,0.021411739068276963,25.155343310428467,4.5904289756284163e-122,28
emp,43207.2139283541,2035.3132717822227,21.228778157831048,1.1984870549851787e-90,28
persexp_clean,-2.69314159994103,0.3447315952445789,-7.812285375323111,8.857451654199934e-15,28
liabilities,0.6999226172412937,0.035052722993325076,19.967710279585887,2.894714741864555e-81,28
(Intercept),88517.839472426,1521465.5063630694,0.0581793271699075,0.9536327509241506,29
tanass_clean,0.7355225450474995,0.16552152318554186,4.44366708867833,1.12593292907312e-5,29
eszk,0.17786609460346356,0.05754400176427993,3.0909580347238346,0.00212450292599346,29
emp,-127150.74099642823,18606.582904571744,-6.833642783769101,2.836092016953915e-11,29
persexp_clean,19.36914433743024,2.7490328135764783,7.045803251883005,7.347323151679804e-12,29
liabilities,2.3749669326317826,0.20894854985011924,11.366276216491423,2.3063517647992176e-26,29
(Intercept),-439354.62289645046,206385.621446025,-2.1288044187291053,0.03448767852138788,30
tanass_clean,-5.633520455914207,0.29749549323761776,-18.936490077900306,1.4304398555292947e-46,30
eszk,4.630442745794273,0.2527682043307349,18.31892883068301,9.843057588601804e-45,30
emp,-11081.001963480758,6102.94038121646,-1.8156824860334049,0.07090924098661001,30
persexp_clean,2.912537129651488,1.0562733080935685,2.7573707555937648,0.00636363338763396,30
liabilities,-1.1300875523426503,0.25229493332202985,-4.479232053781294,1.2554599949544927e-5,30
(Intercept),6111.20116905589,3754.9338676579787,1.627512330295063,0.10380742647350209,31
tanass_clean,-1.0943384109777816,0.044798000389698056,-24.42828700964609,1.0041363073494203e-113,31
eszk,1.1263045819892255,0.028075690822555822,40.116718377749045,1.9368830081116397e-250,31
emp,468.99768773680546,362.4739183333024,1.2938798187006444,0.19587679723483226,31
persexp_clean,3.5297937652694458,0.08471183176192311,41.66824978108953,1.4252131922371557e-264,31
liabilities,-0.9611031065273452,0.03712011080350445,-25.891708988018674,1.6832563490251953e-125,31
(Intercept),3402.0294373129827,9954.341903724802,0.34176337021737035,0.7325708006307614,32
tanass_clean,-0.6940670737093765,0.015234520093917217,-45.558840674377464,8.85615708923021e-298,32
eszk,0.6643834308601995,0.012080469796740411,54.99648954376471,0,32
