term,estimate,std.error,statistic,p.value,nace2
eszk,0.0920582406023734,0.0021731834069617095,42.36100842085779,9.852382535317236e-173,17
emp,-79.20895249638866,84.72629157550014,-0.9348804370341768,0.35027326806817927,17
persexp_clean,0.03365125919631909,0.02037853170046181,1.6513093136909613,0.09926444571326717,17
liabilities,-0.0508013028476897,0.004082222036548077,-12.444522221688665,2.1747057189424825e-31,17
(Intercept),1299.2404965638632,877.5270033871337,1.4805703887731925,0.13886389197043558,18
tanass_clean,-0.11949663996280109,0.010760355292896607,-11.105268990670426,6.4032694757758425e-28,18
eszk,0.10582487068015345,0.005987357203202709,17.674721431944377,1.7339723480705852e-65,18
emp,1405.3619729252603,129.22263914573674,10.87550898368744,7.154670393788849e-27,18
persexp_clean,-0.1661327639324069,0.03287225688052709,-5.05388980550407,4.6850515429531523e-7,18
liabilities,-0.11100610968096454,0.004749747941927978,-23.370947477247785,4.07474593252485e-108,18
(Intercept),1811.7037393304415,6297.146183772795,0.2877023474536841,0.7878650648536734,19
tanass_clean,0.24830996105238196,0.0030827284738899974,80.54876164265207,1.4238677820144474e-7,19
eszk,0.27940431766538587,0.2297040333221635,1.2163666158770359,0.29071176246345587,19
emp,1102.163965536012,5573.348854488432,0.19775614165052616,0.8528790152054203,19
persexp_clean,-1.2186191037211325,0.7838861653853786,-1.5545868233585012,0.19501605116287538,19
liabilities,-0.2799342116572525,0.26498179117334364,-1.0564281055603832,0.35035304424448693,19
(Intercept),113052.2201508995,60707.98087828938,1.862229949264046,0.06309607926115715,20
tanass_clean,0.007151907054500863,0.03256055070341353,0.21964945002453792,0.826224503211515,20
eszk,0.020066032474104115,0.004976980095485511,4.031768680832276,6.305618287742226e-5,20
emp,-35655.01978520988,3440.8923137981205,-10.362143459774018,3.945875667782153e-23,20
persexp_clean,5.376550625900244,0.5423043562118187,9.91426781716689,1.892941438260717e-21,20
liabilities,-0.03639666803725003,0.021285924184056115,-1.7098937176762274,0.08784144830131732,20
(Intercept),-46526.231879608706,18684.918559613277,-2.490041994626262,0.012932508508862359,21
tanass_clean,0.14643711787004618,0.020302616036688006,7.212721631804778,1.07395018289657e-12,21
eszk,0.03919900693665362,0.0016925774428188088,23.15935799745258,1.5580518803791108e-95,21
emp,1323.8580382609423,731.7516889451459,1.8091629418298236,0.07072262255447401,21
persexp_clean,-0.849228001294859,0.053722371055662806,-15.807716312724864,1.8182567438180968e-50,21
liabilities,0.5757669332150299,0.012820058730318145,44.911411509636785,4.59571956991308e-243,21
(Intercept),6957.812814555543,8868.185274597108,0.7845813544836707,0.4327897617398926,22
tanass_clean,-0.17649152021301073,0.004646739572392478,-37.98179722866202,1.9131504475784242e-239,22
eszk,0.1761563697587276,0.002605359705734068,67.61307061402294,0,22
emp,-1238.0004865573694,457.97303216274884,-2.70321700103386,0.006923906198225309,22
persexp_clean,0.1030838195433254,0.07974170822559984,1.2927214858714544,0.19625315132062318,22
liabilities,-0.03462272365111037,0.005584972582976435,-6.199264747806275,6.840388945325978e-10,22
(Intercept),71643.77370979845,19451.826213377703,3.683138689596482,2.3945169337322053e-4,23
tanass_clean,-0.21050599741652343,0.01907855911889178,-11.033642326169081,3.6329644061774884e-27,23
eszk,0.18598860543231338,0.017778695944548933,10.461318761083753,1.1026864691633712e-24,23
emp,-7203.1982468216165,1263.1592460062575,-5.702525845095174,1.4474351347694358e-8,23
persexp_clean,0.9668861668363032,0.2017130424933689,4.793374562619512,1.8209386227671217e-6,23
liabilities,-0.13959386113674582,0.02801184145360635,-4.983387520879103,7.05487877802744e-7,23
(Intercept),-11298.40837513514,12155.124844793801,-0.9295180855319966,0.3529534359275297,24
tanass_clean,-0.10984241520698688,0.014299304836448612,-7.681661204046857,5.549585556500218e-14,24
eszk,0.4767737937211679,0.009304298268325949,51.242316182427174,1.1643022868681929e-234,24
emp,-19.104445381748967,421.4446418605188,-0.04533085364998369,0.9638570220386494,24
persexp_clean,-0.5387068497504917,0.06652438439185268,-8.097885529872979,2.6207559783814396e-15,24
liabilities,-0.6118940189077808,0.00465995755701409,-131.30892533275718,0,24
(Intercept),12160.677712509521,1916.6404767381696,6.344788112377311,2.3879350452914585e-10,25
tanass_clean,-0.03799687050625439,0.003736417126497452,-10.169333139170403,4.233907796081179e-24,25
eszk,0.15815272947996267,0.0021099024001558775,74.95736744423748,0,25
emp,1159.9027889978124,100.91121365953332,11.494290346276435,2.8909157197412854e-30,25
persexp_clean,-0.3063038061556889,0.01366488893477785,-22.415389368890505,5.468057248198841e-107,25
liabilities,-0.2173807794207485,0.003038516680954586,-71.54174297718706,0,25
(Intercept),17481.368074849684,18458.567540978056,0.9470598428638091,0.3438010402093927,26
tanass_clean,-0.024634172014192286,0.006705519292656893,-3.6737157763707837,2.497010766118335e-4,26
eszk,0.07147657941289041,0.0011408626061907398,62.65134734457263,0,26
emp,-550.6966761830653,268.42886153759315,-2.0515553842780085,0.04043193573809897,26
persexp_clean,0.10513512174689461,0.04356805992309857,2.413123786839884,0.015967187297353507,26
liabilities,-0.07918030075121155,0.0025096227740631556,-31.550678281029555,3.6163031672529313e-159,26
(Intercept),116938.29313213825,35378.199541766786,3.3053771714437663,9.948369765025496e-4,27
tanass_clean,0.18740527461014134,0.023401527822798484,8.008249548030166,4.592260629825023e-15,27
eszk,-0.1006814932077866,0.020173757085269903,-4.99071604670507,7.5278876294879e-7,27
emp,-2153.700149143619,884.975842483763,-2.433625920340457,0.015187350352740913,27
persexp_clean,0.2874363077105833,0.16021573447845205,1.7940579222525836,0.07321763394162402,27
liabilities,-0.0644697075737058,0.028145491912017838,-2.2905873443333884,0.022271521604586585,27
(Intercept),28380.183768128318,12432.753051903923,2.282695043458797,0.02254933254291398,28
tanass_clean,0.1544385269979967,0.010982008339592213,14.06286739386426,5.713983821726784e-43,28
eszk,-0.34110164086072836,0.005252433208280058,-64.9416427272236,0,28
