region,N,share,nace2
1,17021,0.5467891676571686,46
7,2852,0.09161874779144849,46
6,2670,0.08577210960840374,46
2,2159,0.06935654855600887,46
3,2001,0.06428089562787112,46
4,1637,0.05258761926178162,46
5,1470,0.047222846863053745,46
NA,1319,0.04237206463426387,46
1,21343,0.47202317763623497,47
6,4470,0.09885881104033971,47
7,4408,0.09748761500353857,47
2,3684,0.08147558386411889,47
3,3644,0.08059094125973107,47
5,3220,0.07121372965322009,47
4,3090,0.06833864118895966,47
NA,1357,0.03001150035385704,47
1,3889,0.3700989722116483,49
2,1218,0.11591168633422154,49
7,1102,0.10487247811191473,49
6,1028,0.09783022459078797,49
3,954,0.09078797106966122,49
NA,891,0.08479253901789113,49
5,783,0.074514655500571,49
4,643,0.06119147316330415,49
NA,678,0.8349753694581281,50
1,87,0.10714285714285714,50
2,14,0.017241379310344827,50
7,10,0.012315270935960592,50
4,8,0.009852216748768473,50
3,6,0.007389162561576354,50
6,5,0.006157635467980296,50
5,4,0.0049261083743842365,50
NA,685,0.8605527638190955,51
1,72,0.09045226130653267,51
2,16,0.020100502512562814,51
6,6,0.007537688442211055,51
4,5,0.00628140703517588,51
7,5,0.00628140703517588,51
3,4,0.005025125628140704,51
5,3,0.0037688442211055275,51
1,1794,0.44894894894894893,52
NA,776,0.1941941941941942,52
6,321,0.08033033033033032,52
3,290,0.07257257257257257,52
7,272,0.06806806806806807,52
2,241,0.06031031031031031,52
5,161,0.04029029029029029,52
4,141,0.03528528528528529,52
NA,691,0.5176029962546816,53
1,413,0.3093632958801498,53
2,43,0.03220973782771536,53
3,41,0.030711610486891385,53
4,40,0.0299625468164794,53
6,38,0.02846441947565543,53
5,36,0.02696629213483146,53
7,33,0.024719101123595506,53
1,1399,0.30118406889128096,55
NA,779,0.16770721205597416,55
3,493,0.10613562970936491,55
2,442,0.09515608180839613,55
5,438,0.09429494079655544,55
4,409,0.08805166846071044,55
6,382,0.0822389666307858,55
7,303,0.06523143164693218,55
1,7881,0.47590579710144926,56
3,1463,0.08834541062801933,56
7,1410,0.08514492753623189,56
2,1381,0.08339371980676329,56
4,1215,0.07336956521739131,56
6,1201,0.07252415458937198,56
5,1074,0.06485507246376812,56
NA,935,0.05646135265700483,56
NA,677,0.9985250737463127,57
1,1,0.0014749262536873156,57
1,2120,0.5819379632171288,58
NA,714,0.1959923140269009,58
7,165,0.04529234147680483,58
3,150,0.04117485588800439,58
6,140,0.03842986549547077,58
2,135,0.03705737029920395,58
4,119,0.03266538567115015,58
5,100,0.02744990392533626,58
1,2473,0.6799560076986527,59
NA,720,0.19796535606268903,59
2,100,0.027495188342040143,59
7,78,0.02144624690679131,59
5,75,0.020621391256530106,59
3,68,0.018696728072587297,59
4,64,0.017596920538905693,59
6,59,0.016222161121803684,59
NA,688,0.6008733624454149,60
1,240,0.2096069868995633,60
7,45,0.039301310043668124,60
2,44,0.03842794759825328,60
4,38,0.03318777292576419,60
5,31,0.027074235807860263,60
6,31,0.027074235807860263,60
3,28,0.02445414847161572,60
NA,693,0.45772787318361957,61
1,414,0.27344782034346105,61
7,94,0.062087186261558784,61
5,77,0.05085865257595773,61
3,76,0.05019815059445178,61
6,58,0.03830911492734478,61
2,57,0.037648612945838836,61
4,45,0.029722589167767502,61
1,9328,0.6594556380346412,62
NA,878,0.06207140332272888,62
2,876,0.06193001060445387,62
7,778,0.055001767408978434,62
6,652,0.04609402615765288,62
3,589,0.0416401555319901,62
4,551,0.03895369388476493,62
5,493,0.03485330505478968,62
1,2363,0.5698095008439836,63
NA,719,0.1733783457921389,63
7,225,0.05425608873884736,63
2,210,0.05063901615625754,63
3,186,0.044851700024113816,63
6,165,0.03978779840848806,63
5,150,0.03617072582589824,63
4,129,0.031106824210272485,63
1,2762,0.6482046467965267,64
NA,731,0.17155597277634357,64
2,166,0.03895799108190565,64
3,155,0.036376437455996245,64
7,147,0.03449894390988031,64
5,108,0.025346162872565126,64
6,98,0.022999295939920207,64
4,94,0.022060549166862238,64
NA,677,0.9286694101508917,65
1,41,0.056241426611796985,65
7,5,0.006858710562414266,65
4,3,0.00411522633744856,65
