county,N,share,nace2
2,62,0.034103410341034104,21
3,46,0.025302530253025302,21
10,46,0.025302530253025302,21
15,40,0.022002200220022004,21
18,40,0.022002200220022004,21
9,35,0.019251925192519254,21
8,33,0.018151815181518153,21
12,29,0.01595159515951595,21
16,25,0.013751375137513752,21
17,22,0.0121012101210121,21
6,16,0.0088008800880088,21
7,13,0.007150715071507151,21
11,10,0.005500550055005501,21
4,3,0.0016501650165016502,21
NA,765,0.26461432030439297,22
13,394,0.1362850224835697,22
1,363,0.12556208924247667,22
3,177,0.061224489795918366,22
5,117,0.04047042545831892,22
19,110,0.03804911795226565,22
8,109,0.03770321687997233,22
9,95,0.03286060186786579,22
2,89,0.030785195434105846,22
7,86,0.029747492217225873,22
15,84,0.029055690072639227,22
20,71,0.02455897613282601,22
14,64,0.022137668626772744,22
6,63,0.021791767554479417,22
11,63,0.021791767554479417,22
10,51,0.01764095468695953,22
18,47,0.016257350397786235,22
16,42,0.014527845036319613,22
17,39,0.01349014181943964,22
12,35,0.012106537530266344,22
4,27,0.00933932895191975,22
NA,719,0.3355109659356043,23
1,289,0.134857676154923,23
13,227,0.10592627158189453,23
5,91,0.042463835744283716,23
19,79,0.036864209052729816,23
2,78,0.036397573495100324,23
3,72,0.03359776014932338,23
8,67,0.03126458236117592,23
11,64,0.029864675688287448,23
15,59,0.027531497900139992,23
7,52,0.02426504899673355,23
20,49,0.022865142323845077,23
6,45,0.020998600093327113,23
9,40,0.018665422305179653,23
16,38,0.01773215118992067,23
14,36,0.01679888007466169,23
10,32,0.014932337844143724,23
4,29,0.013532431171255249,23
18,27,0.012599160055996267,23
12,25,0.011665888940737284,23
17,25,0.011665888940737284,23
NA,705,0.4989384288747346,24
13,107,0.07572540693559802,24
1,86,0.06086341118188252,24
5,56,0.039631988676574664,24
14,54,0.03821656050955414,24
19,48,0.03397027600849257,24
2,43,0.03043170559094126,24
8,34,0.024062278839348902,24
20,34,0.024062278839348902,24
3,30,0.021231422505307854,24
10,27,0.01910828025477707,24
11,27,0.01910828025477707,24
15,26,0.01840056617126681,24
9,24,0.016985138004246284,24
12,23,0.01627742392073602,24
7,20,0.014154281670205236,24
18,20,0.014154281670205236,24
6,15,0.010615711252653927,24
17,15,0.010615711252653927,24
16,12,0.008492569002123142,24
4,7,0.004953998584571833,24
1,1223,0.1701446855870896,25
13,983,0.13675570395102948,25
NA,851,0.11839176405119643,25
7,381,0.05300500834724541,25
5,366,0.05091819699499165,25
