nace2,var,N,min,max,median,mean,sd,skewness,excess_kurtosis,p0001,p01,p05,p10,p25,p50,p75,p90,p95,p99,p999
14,ereduzem,3239,-858499,9834032,537,23369.976844705157,210599.1937746916,33.60997878971725,1478.1823577693729,-482634.90200000006,-61939.56,-10249.8,-3453.2,-158,537,8199,43888.60000000003,99838.9,448463.8799999968,1675175.9500000142
14,emp,3010,0,945,2,11.924252491694352,38.718293580030796,10.746175199333198,178.99593682779312,0,0,0,0,0,2,8,29.09999999999991,53,160.63999999999942,535.7479999999996
14,liabilities,3239,0,43320132,9817,165215.44087681384,1059359.6206779832,27.773257803535113,1000.7498652573861,0,0,0,20,854.5,9817,58576.5,308348.20000000054,658716.4999999998,2416964.6799999843,8820945.85400008
15,age,602,0,83,19,19.398671096345517,14.36893944799088,1.3689674570372925,2.5661457223075255,0,0.009999999999999787,2,4,7.25,19,26,29,49.94999999999993,69,75.78800000000001
15,tanass_clean,602,0,24569267,7328,325283.1926910299,1573327.851652966,9.765905460509687,118.06147271327127,0,0,0,0,67,7328,77569.25,447633.9999999997,1388066.1499999955,6739784.010000007,18942085.36900001
15,eszk,602,0,47246936,36982,667514.9271428571,3072209.9985013125,10.082186307521507,125.08806830568415,0,2.0299999999999994,267.35,1530.6000000000001,5448.75,36982,210719.25,1036409.2,2867708.6999999927,12045548.07,41024566.039000005
15,sales_clean,602,0,47362236,17405.5,569946.5834053156,3076210.3430263083,10.074186622631574,119.08826263718946,0,0,0,0,1280,17405.5,152092.25,772225.3,1597578.7499999986,14202719.240000011,35752696.162000015
15,pretax,602,-486254,7698081,715.5,37354.25984385382,353078.34416626627,18.0017083437463,371.4282676965577,-384019.69299999997,-110771.59,-16427.75,-3776.6,-123.5,715.5,8210,39671.099999999955,104264.54999999989,467393.3600000005,4600139.355000005
15,persexp_clean,556,0,8456871,3386,93357.93507913669,498454.50840813544,11.375711101587768,159.20857974808735,0,0,0,0,0,3386,22229.25,141925.5,321289.5,1893850.8000000021,5859546.480000234
15,satok,599,-337002,40075225,14749,480980.6551352254,2428890.3772431626,10.98861186687071,148.8707791688414,-331881.326,-28714.66,-5526.199999999998,-500.59999999999997,3007.5,14749,107831,832895.6000000006,1808926.1000000047,8897870.319999993,32727387.308000535
15,export_value,94,0,59027785.60516641,0,2178145.355089177,8480521.343726259,4.687984736203966,23.622697362157044,0,0,0,0,0,0,63996.345604683615,1319675.5681174507,16720564.922931936,36989567.91184872,56823963.83583458
15,ereduzem,602,-486049,6516484,835,36980.57379734219,314596.45097647374,16.13924513321411,307.22952433653376,-362629.44299999997,-118256.09999999999,-16903.600000000002,-3755.7999999999997,-123.5,835,8800.5,45234.89999999995,104262.84999999982,508701.1600000001,4185400.325000004
15,emp,566,0,1779,2,27.91166077738516,107.89657111547092,10.176270224085956,136.04920762866942,0,0,0,0,0,2,12.75,62,117.5,442.5500000000053,1220.214999999946
15,liabilities,602,0,8573876,12212.5,167621.55101994105,667458.4819520975,7.922328134878553,75.80654306583742,0,0,0,30,916,12212.5,59047.5,276583.69999999995,661332.1999999989,3046163.160000001,7775370.572000001
16,age,3814,0,70,14,14.411116937598322,9.179010147400753,0.7247761856673505,2.2532574725569567,0,0,1,3,7,14,22,26,28,30,68.1869999999999
16,tanass_clean,3813,0,51171700,4296,86933.4379753475,1062281.8075166934,36.84427614325833,1573.492049342778,0,0,0,0,49,4296,29589,126445.60000000017,246062.39999999874,891408.5600000006,8581107.268000996
16,eszk,3813,0,58516590,18938,168024.77157094152,1431855.7920106545,28.333180625601134,958.3657026270354,0,1,168.80000000000007,1066.2,4704,18938,75782,245361.20000000013,467381.7999999991,1865018.0000000033,25280827.384000093
16,sales_clean,3814,0,45167022,14780,159408.12389579817,1229333.1505086124,24.795901257738084,735.3782999705359,0,0,0,0,1108.75,14780,66789.5,232720.20000000054,490248.1999999994,2174401.75999999,22509673.122999914
16,pretax,3814,-8143675,1372126,465.5,3242.7464604090196,156891.77967135754,-41.2491646182048,2034.6480449068313,-565841.6809999999,-32931.89,-7312.85,-2896.4,-133,465.5,4362.75,18596.600000000006,36650.94999999997,128520.7999999994,444703.18999998283
16,persexp_clean,3776,0,6970389,2927,18924.128840042373,136924.9195078372,37.481970683822944,1790.5927877679196,0,0,0,0,5,2927,11675.5,31248,59635,252813.75,1434547.0249999976
16,satok,3798,-1539002,21265496,8127.5,71500.7840968931,513478.5578676337,29.289279158811514,1061.3342260195602,-343476.3759999998,-38580.47,-7068.099999999998,-1588.999999999999,1876.25,8127.5,35649,123108.40000000002,250829.4499999995,1027036.7799999934,4867590.302999951
16,export_value,171,0,62915457.62226792,0,1784964.5481650801,7303018.990614264,5.678253985352811,35.71720212036207,0,0,0,0,0,0,69648.89966211148,2654391.0210257657,6439175.831380491,35626286.09907934,58820331.10937311
16,ereduzem,3814,-1357361,2350982,522,7189.041426324069,67882.30725431924,11.904091020577571,532.1895368873558,-386116.33699999994,-32642.88,-6976.85,-2840.5999999999995,-140.75,522,4891.5,20118.900000000074,38269.249999999985,144127.0399999995,643401.3439999714
16,emp,3541,0,1156,1,5.560858514543914,25.130440131116856,29.90800808176622,1266.790358930758,0,0,0,0,0,1,5,12,20,62.19999999999982,218.14000000000033
16,liabilities,3813,0,53799088,6986,88255.55337004983,1158986.165895556,36.45611071115255,1484.9571706263812,0,0,0,23,780,6986,30404,104208.0000000001,209467.19999999972,816045.3600000008,7047220.072000099
17,age,600,0,67,17,16.315,9.464586925805419,0.31708665759558885,0.8075423598612921,0,0,1,3,8,17,24,28,29,32.02999999999997,62.806999999999675
17,tanass_clean,599,0,108698000,4583,686399.368948247,6235909.36485723,15.4434184009426,251.7826240955794,0,0,0,0,21,4583,54274,360498.6000000002,1301975.4000000006,9316368.18,103004398.94400042
17,eszk,600,0,249358298,27331.5,1398092.7233333334,12150491.277960615,16.475549813362846,307.37920140539353,0,2.9700000000000006,383.30000000000024,1721.2000000000003,6103.5,27331.5,145629.75,809501.5,1945287.8499999838,20816084.049999997,175851235.4979943
17,sales_clean,600,0,84850132,24546.5,1063733.3451872761,5781030.504538222,9.429609571734767,105.38472020346022,0,0,0,0,1440,24546.5,165339,1059483.6,2582437.599999994,24231648.11999992,69031660.93199877
17,pretax,600,-769736,15123440,790,79205.71,719471.8731037893,16.702126999915528,325.3245566502149,-507245.21499999997,-98220.96,-5102.549999999998,-2353.7999999999997,-126.5,790,7695.5,55928.600000000006,129454.74999999903,1679881.0099999995,9527318.439999565
17,persexp_clean,594,0,15021000,3434.5,133851.19065656565,775013.3210594634,13.644908284243371,235.7422181400657,0,0,0,0,0,3434.5,22798,151928.70000000033,467079.4000000007,2691714.380000035,9303161.168000378
17,satok,596,-345839,186109523,14007.5,879085.0671140939,9197823.489835115,17.02036260106639,312.3206736961478,-256397.41,-62424.25,-5778.25,-289.5,2833.75,14007.5,78773.75,453514,1338291,9531248.499999885,143330496.81499803
17,export_value,62,0,106281913.32399362,679763.4273553316,7739667.723084443,19275750.478859425,3.752408577865559,14.595846513662948,0,0,0,0,11329.517528544811,679763.4273553316,5280401.985371082,18666546.835998144,32638580.634192936,97846129.89389345,105438334.9809836
17,ereduzem,600,-701402,14409549,862.5,75608.59333333334,673630.6968334866,17.412906729780993,348.67276186649195,-476292.409,-36437.59,-4631.699999999999,-2202.9999999999995,-102.75,862.5,8322.75,56228.80000000003,129766.64999999986,1551106.7899999998,9276389.148999602
17,emp,546,0,1921,2,28.19047619047619,121.70116951543318,10.34492362539831,135.1716730600267,0,0,0,0,0,2,10.75,52,115.75,499.1499999999985,1620.7050000000227
17,liabilities,600,0,58748368,9812,478888.5133333333,3383769.825968358,12.59948428371107,183.14172353601617,0,0,0,49.50000000000003,961,9812,61555,355089.0000000001,822722.7999999995,10976981.599999988,46083758.91999902
18,age,2348,0,70,17,16.663117546848383,8.681077717941058,0.18317871375762856,0.9773771898886547,0,0,2,5,9,17,23,28,29,30,68
18,tanass_clean,2347,0,9127470,907,43435.362164465274,275891.6701997876,19.72325279306662,548.7523643092173,0,0,0,0,0,907,9032,47787.20000000001,135153.79999999976,857966.88,3632464.148
18,eszk,2348,0,21039889,10233,102555.92935860307,681788.3910481596,20.819709351266866,539.2688615820965,0,0,44,421.70000000000005,2907.75,10233,37466.25,135065.90000000002,292044.65000000014,1618941.9000000025,9381365.607999403
18,sales_clean,2348,0,23272608,9541.5,118527.46807946423,846389.787529885,18.54293332578935,412.50305428848986,0,0,0,0,709.25,9541.5,44500.75,154279.50000000003,344554.55,1463412.740000002,12361349.981999751
18,pretax,2348,-604042,1471758,305,6317.589151192505,57357.58752011682,13.630332195881403,310.80112204890605,-262023.556,-19652.300000000003,-3416.85,-1614.1,-121.25,305,2743.5,11057.900000000001,28175.30000000002,144349.01000000007,823308.7049999711
18,persexp_clean,2339,0,3356250,2076,17445.45374091492,100949.6662980051,19.99388477295899,558.3355999591522,0,0,0,0,0,2076,7693,24783.800000000043,57570.19999999988,304031.0999999971,1232871.5939999903
18,satok,2333,-1562700,19164227,5704,51935.721957565365,458949.2263591918,32.72820190065244,1303.7726004691144,-506468.448,-17498.52,-3320.3999999999996,-278.9999999999995,1625,5704,20440,68945.20000000001,148176.20000000016,738807.759999994,4061333.7840001616
18,export_value,87,0,9098666.639807604,0,362319.77984384896,1293191.4400882,5.209759879719698,28.995906947472523,0,0,0,0,0,0,43205.67554467515,694023.4991600558,1862467.4133280246,7261736.426028724,8914973.618429719
18,ereduzem,2348,-466548,1569749,306.5,6545.389405451448,56090.11888813722,15.803003216070424,376.6067322668988,-247557.946,-19790.010000000002,-3377.7999999999993,-1575.6,-123.25,306.5,2811,11622.800000000021,29651.40000000001,138603.0200000006,771857.69499998
18,emp,2221,0,689,1,5.406123367852318,24.935878821039502,15.422321002500997,330.77834789010143,0,0,0,0,0,1,3,9,19,81,360.5800000000222
18,liabilities,2348,0,11588691,2838,44154.82019037445,336681.3776398621,23.85026815589612,711.583053598923,0,0,0,4,317.75,2838,12972.25,51742.000000000015,133441.10000000003,618253.1500000025,3593870.0189998606
19,age,12,1,28,12,13.5,10.308866439755986,0.21929597333768244,-1.5851663561548537,1,1,1,1.1,5.75,12,21,27.9,28,28,28
19,tanass_clean,10,0,9144618,6248,1170026.1,2893430.0809493084,2.0504950943648463,2.7921501748400193,0,0,0,0,550.25,6248,141594.25,3002147.6999999974,6073382.849999992,8530370.97,9083193.296999998
19,eszk,12,0,3385938000,55787,288569046.5833333,975478706.3437526,2.6456000353039806,5.477119946067555,30.788999999999717,307.89000000000027,1539.45,3778.400000000001,18446,55787,15621013.75,29880121.6,1540292887.6999977,3016808977.540002,3349025097.7540026
19,sales_clean,12,0,2018192000,55965.5,185874904.91666666,577868746.6326861,2.632624297485864,5.431147931794312,0,0,0,150.00000000000014,6288,55965.5,37459438.75,96835792.60000001,964286761.8999987,1807410952.380001,1997113895.2380013
19,pretax,12,-4291005,169798000,3221,14332178.833333334,48990676.86347521,2.640000497196429,5.457927457937908,-4244007.5,-3821029.9999999995,-1941129.9999999998,-16840.8,-465.75,3221,1374645.5,2885815.4,78015235.29999988,151441447.0600001,167962344.70600012
19,persexp_clean,12,0,70930000,14946.5,6723007.583333333,20296807.562494844,2.611475938065372,5.353818367532087,0,0,0,0,153.75,14946.5,1312161.75,5499714.600000001,35097497.249999955,63763499.45000003,70213349.94500005
19,satok,11,-18392,1884920000,18571,172763160.72727272,567861672.3992999,2.4668554291790676,4.520482305631877,-18180.089999999997,-16272.9,-7796.5,2799,8623,18571,3550739,5402459,945161229.5,1696968245.9000008,1866124824.5900004
19,export_value,3,3317437.41488927,75230356.08938262,4332995.425152742,27626929.643141545,41228903.65490048,0.38463746795919024,-2.3333333333333335,3319468.530909797,3337748.5750945397,3418993.215915617,3520549.0169419646,3825216.420021006,4332995.425152742,39781675.757267684,61050883.95653663,68140620.02295963,73812408.87609802,75088561.36805417
19,ereduzem,12,-4319019,79397000,3054.5,6808602.583333333,22929109.55357121,2.616938788712577,5.3799162459660455,-4271713.346,-3845962.4599999995,-1953736.2999999998,-16840.8,-465.75,3054.5,1396948.25,2936981.9,37359470.94999994,70989494.19000004,78556249.41900006
19,emp,12,0,4742,4,480.8333333333333,1356.8555113894326,2.549927006821546,5.116739065844527,0,0,0,0,0.75,4,121.75,650.8000000000002,2519.999999999997,4297.600000000002,4697.560000000003
19,liabilities,12,0,1501017984,62280.5,129939523.41666667,431876744.945333,2.6440191227729946,5.471588790097702,0,0,0,40.500000000000036,3391.5,62280.5,10558932,25752570,689803434.7999989,1338775074.160001,1484793693.016001
20,age,647,0,70,14,15.397217928902627,10.628756119338892,0.5356439682544984,0.41336386752359333,0,0,1,2,6,14,25,29,30,39,64.83200000000033
20,tanass_clean,644,0,303078439,7063,1262153.1442220497,13339965.777256865,19.196611048836516,412.56286715542524,0,0,0,0,157.75,7063,92552.25,627886.0000000009,1682616.5500000003,14837662.090000115,180332028.72299445
20,eszk,647,0,657031846,40754,3951956.5450741886,36201231.80136934,14.524895183788798,231.59170686551667,0,0,803.2000000000005,2374,5689.5,40754,313114,1679951.5999999978,4392825.599999985,79713707.23999822,570628153.4840056
20,sales_clean,647,0,466627972,28891,2784875.1966353664,25247353.597077843,15.698277370637783,264.8327679708871,0,0,0,0,801.5,28891,270213.5,1851644.1999999993,4457208.499999994,54495772.19999994,420824006.0880029
20,pretax,647,-3250231,55895636,1081,300227.973561051,3413060.7625096897,14.455456336087835,220.6252158012971,-3041782.304,-269186.16,-11194.099999999999,-2817.3999999999996,-126,1081,13801,103424.99999999997,283752.5999999996,2253647.2999999947,55422999.14400002
20,persexp_clean,635,0,27641306,4764,185627.50566944512,1316950.6638298999,16.065192431530694,307.3383961072764,0,0,0,0,27.5,4764,39926,174552.2,522033.2999999991,3456261.4999999804,17406449.995999765
20,satok,645,-3502763,425657104,18594,2146469.679164341,21741012.165771578,15.675594690557913,267.4907739202225,-2305524.496,-64793.92,-5984.199999999997,-553.3999999999991,2945,18594,152591,815282.4000000008,2369543.9999999944,28346754.399999946,322841016.3599991
20,export_value,95,0,772185065.268576,1249793.4334040475,18552065.409388237,83379105.18655527,7.9458174724810595,67.65839707847596,0,0,0,0,12283.585907976958,1249793.4334040475,5450491.647539854,23879072.314447835,70726748.91085246,255798888.3202897,720546447.5737505
20,ereduzem,647,-3285025,56162285,1185,317542.1543956723,3318969.9735687706,14.237752480426456,217.22837622231816,-3279836.3279999997,-162146.26,-11220,-2554.3999999999987,-109.5,1185,15047,119492.99999999997,309120.79999999906,4242275.619999929,53056132.8900002
