var1,var2,cor,nace2
satok,eszk,0.9916467845196586,12
export_value,eszk,0.9877328855245101,12
ereduzem,eszk,0.9815128084077228,12
emp,eszk,0.9643423132949921,12
liabilities,eszk,0.989956162910081,12
age,sales_clean,0.1340200708134632,12
tanass_clean,sales_clean,0.9808143330937995,12
eszk,sales_clean,0.9820980017080814,12
sales_clean,sales_clean,1,12
pretax,sales_clean,0.9895253475080356,12
persexp_clean,sales_clean,0.986739869197048,12
satok,sales_clean,0.9821324129534058,12
export_value,sales_clean,0.9691575517804795,12
ereduzem,sales_clean,0.9839652021458992,12
emp,sales_clean,0.9398484589839153,12
liabilities,sales_clean,0.9639933830049223,12
age,pretax,0.11985747888902626,12
tanass_clean,pretax,0.9554525735173615,12
eszk,pretax,0.9814356973463564,12
sales_clean,pretax,0.9895253475080356,12
pretax,pretax,1,12
persexp_clean,pretax,0.98653782252501,12
satok,pretax,0.9766989571135902,12
export_value,pretax,0.9892594192239276,12
ereduzem,pretax,0.998965053764835,12
emp,pretax,0.9479250901377749,12
liabilities,pretax,0.9685198292798556,12
age,persexp_clean,0.16385674409050968,12
tanass_clean,persexp_clean,0.9638107969213916,12
eszk,persexp_clean,0.9923098471006364,12
sales_clean,persexp_clean,0.986739869197048,12
pretax,persexp_clean,0.98653782252501,12
persexp_clean,persexp_clean,1,12
satok,persexp_clean,0.9862000002729818,12
export_value,persexp_clean,0.9882549454525944,12
ereduzem,persexp_clean,0.9862063878257193,12
emp,persexp_clean,0.9802457085060615,12
liabilities,persexp_clean,0.9812320084463966,12
age,satok,0.17923077318369401,12
tanass_clean,satok,0.976013239639362,12
eszk,satok,0.9916467845196586,12
sales_clean,satok,0.9821324129534058,12
pretax,satok,0.9766989571135902,12
persexp_clean,satok,0.9862000002729818,12
satok,satok,1,12
export_value,satok,0.9706791440102119,12
ereduzem,satok,0.973538843330269,12
emp,satok,0.9542176852975854,12
liabilities,satok,0.9642949081272313,12
age,export_value,0.26102010051739427,12
tanass_clean,export_value,0.9316709584793601,12
eszk,export_value,0.9877328855245101,12
sales_clean,export_value,0.9691575517804795,12
pretax,export_value,0.9892594192239276,12
persexp_clean,export_value,0.9882549454525944,12
satok,export_value,0.9706791440102119,12
export_value,export_value,1,12
ereduzem,export_value,0.9939018184860707,12
emp,export_value,0.9722398297470812,12
liabilities,export_value,0.9945284439727895,12
age,ereduzem,0.1198252539844767,12
tanass_clean,ereduzem,0.9459488839612937,12
eszk,ereduzem,0.9815128084077228,12
sales_clean,ereduzem,0.9839652021458992,12
pretax,ereduzem,0.998965053764835,12
persexp_clean,ereduzem,0.9862063878257193,12
satok,ereduzem,0.973538843330269,12
export_value,ereduzem,0.9939018184860707,12
ereduzem,ereduzem,1,12
emp,ereduzem,0.953051518805385,12
liabilities,ereduzem,0.9720537110971679,12
age,emp,0.19584494740129357,12
tanass_clean,emp,0.9072639714103227,12
eszk,emp,0.9643423132949921,12
sales_clean,emp,0.9398484589839153,12
pretax,emp,0.9479250901377749,12
persexp_clean,emp,0.9802457085060615,12
satok,emp,0.9542176852975854,12
export_value,emp,0.9722398297470812,12
ereduzem,emp,0.953051518805385,12
emp,emp,1,12
liabilities,emp,0.9572530942633782,12
age,liabilities,0.14239125471649358,12
tanass_clean,liabilities,0.940326101546433,12
eszk,liabilities,0.989956162910081,12
sales_clean,liabilities,0.9639933830049223,12
pretax,liabilities,0.9685198292798556,12
persexp_clean,liabilities,0.9812320084463966,12
satok,liabilities,0.9642949081272313,12
export_value,liabilities,0.9945284439727895,12
ereduzem,liabilities,0.9720537110971679,12
emp,liabilities,0.9572530942633782,12
liabilities,liabilities,1,12
age,age,1,13
tanass_clean,age,0.18577267578364612,13
eszk,age,0.18016855488789046,13
sales_clean,age,0.10481328906887373,13
